"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","genome_build","GEO_Accession..exp.","Instrument","library_strategy","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","source_name","SRA.Study","sex","Biomaterial_provider"
"255","SRR8370897","OTHER",294,128981428,"PRJNA511892","SAMN10645566",68073028,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181206","mm10","GSM3531406","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531406","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"256","SRR8370898","OTHER",282,183304929,"PRJNA511892","SAMN10645565",96308819,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181207","mm10","GSM3531407","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531407","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"258","SRR8370900","OTHER",287,175870538,"PRJNA511892","SAMN10645563",92188834,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181265","mm10","GSM3531409","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531409","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"259","SRR8370901","OTHER",285,256666345,"PRJNA511892","SAMN10645562",135712586,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181266","mm10","GSM3531410","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531410","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"261","SRR8370903","OTHER",287,364542797,"PRJNA511892","SAMN10645560",190454497,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181268","mm10","GSM3531412","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531412","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"262","SRR8370904","OTHER",289,210720508,"PRJNA511892","SAMN10645559",109479315,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181269","mm10","GSM3531413","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531413","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"263","SRR8370905","OTHER",291,406604926,"PRJNA511892","SAMN10645558",212465179,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181270","mm10","GSM3531414","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531414","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"264","SRR8370906","OTHER",291,184629689,"PRJNA511892","SAMN10645557",96240388,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181271","mm10","GSM3531415","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531415","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"265","SRR8370907","OTHER",285,248457730,"PRJNA511892","SAMN10645556",129240605,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181328","mm10","GSM3531416","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531416","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"267","SRR8370909","OTHER",289,251028724,"PRJNA511892","SAMN10645554",130189125,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181330","mm10","GSM3531418","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531418","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"268","SRR8370910","OTHER",285,447423598,"PRJNA511892","SAMN10645553",230789212,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181331","mm10","GSM3531419","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531419","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
